epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6752,1.09812,1.23141,1.0058,0.79797,0.64791,0.75182,0.61431,0.88671,0.71663,0.93315,0.000416309,0.000416309,0.000416309
2,192.28,1.01018,0.80814,0.98179,0.84092,0.73151,0.83542,0.69123,0.84371,0.628,0.93304,0.000816483,0.000816483,0.000816483
3,283.221,0.98418,0.73066,0.9736,0.84896,0.76853,0.85069,0.69039,0.89174,0.59438,0.9442,0.00120016,0.00120016,0.00120016
4,376.211,0.954,0.68516,0.96379,0.87225,0.79973,0.86992,0.73763,0.80537,0.55077,0.91916,0.00117575,0.00117575,0.00117575
5,472.422,0.92475,0.6477,0.9569,0.88467,0.77717,0.86443,0.72694,0.79199,0.53757,0.91386,0.001151,0.001151,0.001151
6,569.333,0.90836,0.61923,0.95144,0.88871,0.81206,0.88629,0.75327,0.78108,0.51804,0.91014,0.00112625,0.00112625,0.00112625
7,664.534,0.8876,0.60396,0.94344,0.88349,0.8168,0.88592,0.75624,0.76295,0.49374,0.90655,0.0011015,0.0011015,0.0011015
8,761.41,0.87715,0.58598,0.94093,0.90746,0.80782,0.89704,0.76801,0.75754,0.49139,0.90319,0.00107675,0.00107675,0.00107675
9,860.262,0.8637,0.57805,0.93757,0.88779,0.83096,0.8922,0.761,0.75185,0.49161,0.9053,0.001052,0.001052,0.001052
10,960.211,0.85536,0.56294,0.93381,0.87564,0.84658,0.90815,0.77188,0.73817,0.46556,0.89797,0.00102725,0.00102725,0.00102725
11,1060.69,0.8489,0.55225,0.93111,0.87386,0.86665,0.90886,0.78432,0.72563,0.45422,0.89489,0.0010025,0.0010025,0.0010025
12,1158.35,0.83733,0.54117,0.92683,0.92737,0.85145,0.91802,0.79396,0.71965,0.43911,0.89145,0.00097775,0.00097775,0.00097775
13,1255.6,0.82981,0.53313,0.92418,0.86836,0.88328,0.91688,0.7941,0.72411,0.44936,0.89397,0.000953,0.000953,0.000953
14,1352.38,0.82382,0.53018,0.92375,0.91758,0.84014,0.91109,0.79194,0.71431,0.44761,0.88978,0.00092825,0.00092825,0.00092825
15,1450.15,0.81384,0.51517,0.92039,0.88453,0.88125,0.91274,0.79838,0.70255,0.4319,0.88502,0.0009035,0.0009035,0.0009035
