epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1547.03,0.81153,0.51252,0.91749,0.90252,0.88741,0.92766,0.81336,0.7,0.42749,0.88409,0.00087875,0.00087875,0.00087875
17,1644.27,0.80711,0.50732,0.91707,0.87013,0.89492,0.92311,0.81111,0.69912,0.42428,0.88266,0.000854,0.000854,0.000854
18,1744.18,0.80048,0.50187,0.91639,0.88619,0.87203,0.92132,0.80914,0.70173,0.41485,0.88728,0.00082925,0.00082925,0.00082925
19,1842.2,0.79285,0.49461,0.91425,0.92182,0.86591,0.92737,0.81196,0.69364,0.40983,0.88392,0.0008045,0.0008045,0.0008045
20,1940.49,0.78513,0.48876,0.91205,0.91577,0.8817,0.93292,0.81777,0.68764,0.41255,0.8809,0.00077975,0.00077975,0.00077975
21,2041.47,0.78568,0.48844,0.91151,0.87251,0.91259,0.93554,0.81761,0.69329,0.40511,0.88382,0.000755,0.000755,0.000755
22,2141.81,0.78109,0.48139,0.90937,0.91576,0.87816,0.93155,0.81511,0.68717,0.41631,0.87998,0.00073025,0.00073025,0.00073025
23,2239.67,0.77856,0.47844,0.90862,0.93063,0.86345,0.93591,0.82691,0.68177,0.4006,0.88031,0.0007055,0.0007055,0.0007055
24,2337.84,0.77327,0.47307,0.90829,0.90483,0.90066,0.93855,0.83006,0.67464,0.39044,0.87669,0.00068075,0.00068075,0.00068075
25,2435.8,0.76753,0.46835,0.90475,0.92058,0.88042,0.93346,0.83099,0.67136,0.38626,0.87634,0.000656,0.000656,0.000656
26,2533.39,0.76411,0.46055,0.90438,0.90767,0.89769,0.94382,0.83771,0.66822,0.39419,0.87356,0.00063125,0.00063125,0.00063125
27,2629.89,0.75848,0.46013,0.90279,0.92925,0.90101,0.94918,0.84632,0.66863,0.38246,0.87369,0.0006065,0.0006065,0.0006065
28,2726.33,0.75567,0.45395,0.90106,0.94207,0.90344,0.95401,0.84846,0.66708,0.38265,0.8741,0.00058175,0.00058175,0.00058175
29,2822.83,0.75597,0.45155,0.90166,0.94207,0.89287,0.94572,0.84594,0.66161,0.38863,0.87116,0.000557,0.000557,0.000557
30,2919.18,0.75426,0.44899,0.90001,0.92498,0.9007,0.9501,0.84769,0.65824,0.38142,0.8712,0.00053225,0.00053225,0.00053225
31,3015.35,0.75086,0.44719,0.90141,0.92694,0.91728,0.94922,0.8448,0.66024,0.37547,0.87232,0.0005075,0.0005075,0.0005075
32,3111.94,0.74662,0.44269,0.8985,0.93204,0.90702,0.94895,0.84641,0.65467,0.36342,0.87074,0.00048275,0.00048275,0.00048275
33,3209.85,0.7439,0.43974,0.89712,0.91242,0.92601,0.9547,0.85238,0.65382,0.36931,0.86872,0.000458,0.000458,0.000458
34,3307.4,0.73636,0.43368,0.89665,0.93051,0.9247,0.95752,0.85725,0.6511,0.36511,0.86945,0.00043325,0.00043325,0.00043325
35,3404.33,0.73635,0.43313,0.89556,0.94324,0.90074,0.95409,0.85886,0.64835,0.36271,0.86777,0.0004085,0.0004085,0.0004085
36,3501.41,0.73383,0.42738,0.89485,0.93522,0.91288,0.95543,0.85528,0.65071,0.36247,0.86816,0.00038375,0.00038375,0.00038375
37,3597.57,0.73031,0.42494,0.89442,0.93097,0.92888,0.95642,0.85877,0.64726,0.3593,0.86741,0.000359,0.000359,0.000359
38,3694,0.72223,0.41935,0.89105,0.94685,0.92499,0.95613,0.85802,0.64455,0.35763,0.86687,0.00033425,0.00033425,0.00033425
39,3791.04,0.72561,0.41966,0.89249,0.94234,0.92147,0.95669,0.85906,0.64445,0.35873,0.86596,0.0003095,0.0003095,0.0003095
40,3887.58,0.71236,0.41384,0.88955,0.9457,0.92745,0.96204,0.86514,0.63923,0.34792,0.8642,0.00028475,0.00028475,0.00028475
41,3993.98,0.69573,0.37666,0.88223,0.94588,0.91704,0.96033,0.86459,0.64025,0.35244,0.86399,0.00026,0.00026,0.00026
42,4090.93,0.68613,0.36887,0.87839,0.95584,0.91491,0.96215,0.86655,0.63777,0.3491,0.86404,0.00023525,0.00023525,0.00023525
43,4188.3,0.68152,0.36495,0.87752,0.94691,0.92305,0.96216,0.86697,0.63558,0.34629,0.86416,0.0002105,0.0002105,0.0002105
44,4285.46,0.67928,0.36363,0.87527,0.94479,0.92747,0.96409,0.86842,0.63548,0.34629,0.86358,0.00018575,0.00018575,0.00018575
45,4382.47,0.67361,0.35936,0.87497,0.94847,0.92292,0.96494,0.87152,0.63191,0.33991,0.86277,0.000161,0.000161,0.000161
46,4479.56,0.66894,0.35557,0.87159,0.9399,0.93206,0.96046,0.87001,0.63132,0.34313,0.86168,0.00013625,0.00013625,0.00013625
47,4576.7,0.66676,0.35149,0.87131,0.94871,0.93029,0.96866,0.87617,0.63095,0.3387,0.86191,0.0001115,0.0001115,0.0001115
48,4673.63,0.66299,0.34932,0.86994,0.94505,0.92998,0.96312,0.87106,0.62813,0.33779,0.86094,8.675e-05,8.675e-05,8.675e-05
49,4770.87,0.65892,0.34579,0.8691,0.94751,0.93435,0.9622,0.86912,0.62657,0.33674,0.86063,6.2e-05,6.2e-05,6.2e-05
50,4867.96,0.65632,0.34368,0.86901,0.94655,0.93462,0.96476,0.87025,0.62667,0.33615,0.86028,3.725e-05,3.725e-05,3.725e-05
